品番,ブランド名,チャネル,シーズン,ステップ,タイプ,シーン1,シーン2,補整力,シルエット,上代数値,cluster,medoid_score,tsne_x,tsne_y
BT09501,FIT,店舗・EC,夏,なし,一般,見せる,日中,2,自然,6000,8,2.0167168286075663,0.17472577,0.5976758
BT09503,FIT,店舗・EC,夏,なし,一般,見せる,日中,2,自然,7500,8,2.25263140984569,0.1606816,0.6691575
CA525104,NY,店舗・EC,通年,0,一般,見せる,日中,3,高さ/自然,7200,7,0.259126931809417,0.24291241,0.833544
CA525301,NY,店舗・EC,通年,0,一般,見せる,日中,3,高さ/自然,7500,7,0.0,0.22658837,0.8947151
CA126106,NY,店舗・EC,通年,0,一般,見せない,日中,4,高さ,11000,7,3.8212495633232075,0.9817852,0.39192086
CA126115,NY,店舗・EC,通年,0,一般,見せない,日中,4,高さ,11000,7,3.8212495633232075,0.9817852,0.39192086
CA526101,NY,店舗・EC,夏,0,一般,見せる,日中,3,高さ/自然,8000,7,1.4786882012905909,0.17795396,0.84021163
DB124201,PEACE,テレビ・EC,通年,0,一般,見せない,日中,3,自然,5800,5,0.43187821968235574,0.41783613,0.55826414
DB124202,PEACE,テレビ・EC,通年,0,一般,見せない,日中,3,自然,5800,5,0.43187821968235574,0.41783613,0.55826414
DB124302,PEACE,テレビ・EC,通年,0,一般,見せない,日中,4,自然,6300,5,1.209349903887876,0.4426431,0.7775079
DB125401,PEACE,テレビ・EC,通年,0,プチ~一般,見せない,日中,3,自然,5800,0,0.43187821968235574,0.5815879,0.570047
DB125101,PEACE,テレビ・EC,通年,0,プチ~一般,見せない,日中,3,自然,6300,0,0.0,0.5176648,0.61132574
DB125102,PEACE,テレビ・EC,通年,0,プチ~一般,見せない,日中,3,自然,6300,0,0.0,0.5176648,0.61132574
DB125103,PEACE,テレビ・EC,通年,0,プチ~一般,見せない,日中,3,自然,6300,0,0.0,0.5176648,0.61132574
DB125202,PEACE,テレビ・EC,通年,0,一般,見せない,日中,3,自然,6300,5,0.0,0.40962505,0.6612631
DB125203,PEACE,テレビ・EC,通年,0,一般,見せない,日中,3,自然,6300,5,0.0,0.40962505,0.6612631
