品番,シーズン,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y
BT09501,夏,一般,見せる,日中,2,自然,2,0.0,0.46044415,0.09630382
BT09503,夏,一般,見せる,日中,2,自然,2,9.313225746154785e-10,0.46044415,0.09630382
CA525301,通年,一般,見せる,日中,3,高さ/自然,5,0.03687760206708548,0.48893505,0.5472361
CA525104,通年,一般,見せる,日中,3,高さ/自然,5,0.03176490420794193,0.43672562,0.6020846
CA526101,夏,一般,見せる,日中,3,高さ/自然,2,0.07189529775946722,0.50504345,0.2610612
CA126106,通年,一般,見せない,日中,4,高さ,5,0.0430271517118662,0.7027674,0.59915495
CA126115,通年,一般,見せない,日中,4,高さ,5,0.048792350041843485,0.6588056,0.65296996
DB12417,通年,グラマー,見せない,日中,4,自然,3,0.012438092428818485,0.7597439,0.79910356
DB12420,通年,グラマー,見せない,日中,4,自然,3,0.014725838935209228,0.85001683,0.78343886
DB124201,通年,一般,見せない,日中,3,自然,3,0.005079918737831884,0.67098,0.82208306
DB124202,通年,一般,見せない,日中,3,自然,3,0.018910643411864464,0.88073194,0.69979054
DB12422,通年,一般,見せない,日中,3,自然,3,0.013805758691140736,0.93350077,0.8357873
DB12424,通年,一般,見せない,日中,3,自然,3,0.0,0.9388614,0.7623071
DB124302,通年,一般,見せない,日中,4,自然,3,0.019200813040141495,0.77949214,0.7285854
DB125101,通年,プチ~一般,見せない,日中,3,自然,7,0.007466436557304967,0.22164828,0.42144978
DB125102,通年,プチ~一般,見せない,日中,3,自然,7,0.015320761219134458,0.0,0.4440604
DB125103,通年,プチ~一般,見せない,日中,3,自然,7,0.023609048556572292,0.10426378,0.34365666
DB125202,通年,一般,見せない,日中,3,自然,3,0.010738444130256158,0.83789337,0.8486804
DB125203,通年,一般,見せない,日中,3,自然,3,0.01484173578269811,0.7497468,0.867284
DB125401,通年,プチ~一般,見せない,日中,3,自然,7,0.012675486903021815,0.10367012,0.4230277
DB524201,通年,プチ~一般,見せない,日中,2,自然,7,0.05505973940592791,0.09376413,0.5642729
DB524203,通年,一般~グラマー,見せない,日中,2,自然,4,0.016835530870896825,0.09483373,0.8710369
DB525101,通年,一般,見せない,日中,4,自然,3,0.019200813040141516,0.77949214,0.7285854
DB525102,通年,プチ~一般,見せない,日中,3,自然,7,0.004748616373830993,0.19680792,0.3601452
DB525103,通年,プチ~一般,見せない,日中,3,自然,7,0.0,0.1734159,0.48385507
DB525104,通年,プチ~一般,見せない,日中,3,自然,7,0.0,0.1734159,0.48385507
DB525202,通年,プチ~一般,見せない,日中,2,自然,7,0.03691612783689268,0.043925047,0.5062553
DB525204,通年,一般~グラマー,見せない,日中,2,自然,4,0.012376095840781637,0.35310143,0.8822299
DB525207,通年,一般~グラマー,見せない,日中,3,自然,4,0.03812429205855973,0.33059347,0.8051935
DB525301,通年,一般,見せる,日中,2,自然,2,0.028020124353290324,0.538638,0.18152606
DB525404,通年,プチ~一般,見せない,日中,3,自然,7,0.012675486903021815,0.10367012,0.4230277
DB525406,通年,一般~グラマー,見せない,日中,4,自然,3,0.047578036057949614,0.6634022,0.74574035
ME06601,夏,一般~グラマー,見せない,all,4,高さ/自然,6,0.009600005395829789,1.0,0.36255246
ME08503,通年,一般,見せない,就寝,2,自然,3,0.05671523830349439,0.6884809,0.93500376
ME09502,夏,一般~グラマー,見せない,all,4,高さ/自然,6,0.009600005395829789,1.0,0.36255246
ME118307,通年,プチ~一般,見せない,日中,3,高さ/自然,1,0.0072439576040979085,0.36129296,0.4715941
ME122105,通年,一般~グラマー,見せない,all,4,高さ,6,0.021820927746641842,0.93894404,0.43476146
ME123102,夏,一般,見せない,日中,5,高さ,5,0.05096677139145981,0.63560474,0.55204046
ME123103,通年,一般~グラマー,見せない,all,4,高さ/自然,6,0.0,0.8989769,0.36100674
ME124103,夏,一般~グラマー,見せない,all,4,高さ/自然,6,0.009600005395829699,1.0,0.36255246
ME124301,夏,一般~グラマー,見せない,日中,4,高さ/自然,6,0.030523684237032285,0.8209826,0.3252828
ME124302,通年,プチ~一般,見せない,日中,3,自然,7,0.008773564717059866,0.015210748,0.374591
ME124303,通年,プチ~一般,見せない,日中,3,高さ/自然,1,0.0,0.36564666,0.3995105
ME124304,通年,一般~グラマー,見せない,all,2,自然,0,0.0,0.14700556,0.75646204
ME125101,通年,一般~グラマー,見せない,日中,4,高さ,5,0.07562708056834233,0.71582896,0.5197283
ME125102,通年,プチ~一般,見せない,日中,3,高さ/自然,1,9.313225746154785e-10,0.36564666,0.3995105
ME125301,夏,プチ~一般,見せない,日中,3,高さ/自然,6,0.06958654922795555,0.71508515,0.37663817
ME125302,通年,一般,見せない,就寝,3,高さ/自然,3,0.046550937738475205,0.7884605,0.64841855
ME125303,通年,一般~グラマー,見せない,all,2,自然,0,0.0,0.14700556,0.75646204
ME126101,通年,プチ,見せない,就寝,2,自然,0,0.0515807219201816,0.09407401,0.6773407
ME126103,夏,プチ~一般,見せる,日中,2,自然,2,0.007385110560672481,0.34362817,0.15126324
ME126104,夏,一般~グラマー,見せる,日中,2,自然,2,0.00820139572253821,0.49426252,1.1920929e-07
ME518306,通年,プチ~一般,見せない,日中,3,高さ/自然,1,0.0,0.36564666,0.3995105
ME522301,通年,一般~グラマー,見せない,all,4,高さ/自然,6,0.0026769265254894575,0.9338058,0.29514933
ME524301,夏,一般~グラマー,見せない,日中,4,高さ/自然,6,0.027528992867766788,0.83768094,0.40899986
ME524302,通年,一般,見せない,日中,4,高さ/自然,5,1.3170890159654386e-09,0.5540773,0.6085197
ME525101,夏,一般,見せる,日中,2,自然,2,9.313225746154785e-10,0.46044415,0.09630382
ME525301,夏,プチ~一般,見せない,日中,3,高さ/自然,6,0.06958654922795553,0.71508515,0.37663817
ME525303,通年,一般,見せない,日中,4,高さ/自然,5,0.0,0.5540773,0.6085197
ME525304,冬,一般,見せる,日中,2,自然,2,0.0077154959306172865,0.5784919,0.042807102
ME525305,夏,一般,見せる,日中,2,自然,2,1.3170890159654386e-09,0.46044415,0.09630382
ME526101,夏,一般,見せる,日中,2,自然,2,0.0,0.46044415,0.09630382
MG02503,夏,一般,見せる,日中,2,自然,2,9.313225746154785e-10,0.46044415,0.09630382
MG07501,通年,プチ~一般,見せない,就寝,1,自然,0,0.058040038647507626,0.0029456615,0.6959461
MG07502,夏,一般,見せる,日中,2,自然,2,0.003031730158473149,0.5958278,0.11624372
MG07504,通年,グラマー,見せない,日中,2,自然,0,0.020069798944521506,0.061036468,0.7922819
MG07505,夏,一般,見せる,日中,2,自然,2,0.007094182987522475,0.3932684,0.0054103136
MG122201,通年,一般~グラマー,見せない,日中,3,高さ/自然,1,0.062359217173804785,0.6153681,0.42989552
MG124301,通年,プチ~一般,見せない,all,2,自然,0,0.056818592723194755,0.020458698,0.6195959
MG125201,通年,一般,見せない,日中,3,高さ/自然,5,0.016772061181994657,0.49071556,0.6613809
MG125301,通年,一般~グラマー,見せない,日中,3,高さ/自然,1,0.062359217173804785,0.6153681,0.42989552
MG523101,通年,一般,見せる,日中,2,自然,2,0.037374175284468826,0.43671346,0.20263863
MG525401,通年,一般,見せない,日中,2,自然,3,0.037050038695274276,0.7988242,0.93015444
MG525402,冬,一般,見せない,日中,2,自然,3,0.0424010341821058,0.8998307,0.91066813
MG525403,冬,一般,見せる,日中,2,自然,2,0.015965472439509215,0.32307023,0.06993997
MG525404,冬,一般,見せる,日中,2,自然,2,0.015965472439509215,0.32307023,0.06993997
YH09501,通年,一般~グラマー,見せない,日中,2,自然,4,0.0,0.22132516,0.8691585
YH124201,通年,一般~グラマー,見せない,日中,2,自然,4,0.0,0.22132516,0.8691585
YH124301,通年,一般~グラマー,見せない,日中,2,自然,4,0.0,0.22132516,0.8691585
YH125201,通年,一般~グラマー,見せない,日中,2,自然,4,0.0,0.22132516,0.8691585
