品番,シーズン,ステップ,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y
BT09501,夏,なし,一般,見せる,日中,2,自然,0,1.4142135623730951,0.0,0.40335575
BT09503,夏,なし,一般,見せる,日中,2,自然,0,1.4142135623730951,0.0,0.40335575
CA525301,通年,0,一般,見せる,日中,3,高さ/自然,2,2.0,0.40717995,0.20405614
CA525104,通年,0,一般,見せる,日中,3,高さ/自然,2,2.0,0.40717995,0.20405614
CA526101,夏,0,一般,見せる,日中,3,高さ/自然,0,1.860786712665806,0.32005507,0.12940079
CA126106,通年,0,一般,見せない,日中,4,高さ,2,1.860786712665806,0.7350469,0.24332199
CA126115,通年,0,一般,見せない,日中,4,高さ,2,1.860786712665806,0.7350469,0.24332199
DB12417【仮】,通年,0,グラマー,見せない,日中,4,自然,2,1.860786712665806,0.9742226,0.37893644
DB12420【仮】,通年,0,グラマー,見せない,日中,4,自然,2,1.860786712665806,0.9742226,0.37893644
DB124201,通年,0,一般,見せない,日中,3,自然,2,0.0,0.5343655,0.4586499
DB124202,通年,0,一般,見せない,日中,3,自然,2,0.0,0.5343655,0.4586499
DB12422【仮】,通年,0,一般,見せない,日中,3,自然,2,0.0,0.5343655,0.4586499
DB12424【仮】,通年,0,一般,見せない,日中,3,自然,2,0.0,0.5343655,0.4586499
DB124302,通年,0,一般,見せない,日中,4,自然,2,1.2093499038878768,0.6848774,0.36800957
DB125101,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
DB125102,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
DB125103,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
DB125202,通年,0,一般,見せない,日中,3,自然,2,0.0,0.5343655,0.4586499
DB125203,通年,0,一般,見せない,日中,3,自然,2,0.0,0.5343655,0.4586499
DB125401,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
DB524201,通年,0,プチ~一般,見せない,日中,2,自然,5,1.4142135623730951,0.6488563,0.8092061
DB524203,通年,0,一般~グラマー,見せない,日中,2,自然,5,0.0,0.35910004,0.6902382
DB525101,通年,0,一般,見せない,日中,4,自然,2,1.2093499038878768,0.6848774,0.36800957
DB525102,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
DB525103,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
DB525104,通年,0,プチ~一般,見せない,日中,3,自然,4,0.0,0.69364023,0.6398931
DB525202,通年,0,プチ~一般,見せない,日中,2,自然,4,1.2093499038878768,0.6488563,0.8092061
DB525204,通年,0,一般~グラマー,見せない,日中,2,自然,5,0.0,0.35910004,0.6902382
