品番,シーズン,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y
BT09501,夏,一般,見せる,日中,2,自然,,0.0,0.19048795,0.52097666
BT09503,夏,一般,見せる,日中,2,自然,,0.0,0.19048795,0.52097666
CA525301,通年,一般,見せる,日中,3,高さ/自然,6,1.860786712665806,0.4020598,0.4776555
CA525104,通年,一般,見せる,日中,3,高さ/自然,6,1.860786712665806,0.4020598,0.4776555
CA526101,夏,一般,見せる,日中,3,高さ/自然,6,2.3372049952953673,0.3388275,0.5545506
CA126106,通年,一般,見せない,日中,4,高さ,6,1.4142135623730951,0.8018007,0.41086337
CA126115,通年,一般,見せない,日中,4,高さ,6,1.4142135623730951,0.8018007,0.41086337
DB12417,通年,グラマー,見せない,日中,4,自然,1,1.860786712665806,0.69294035,0.34554082
DB12420,通年,グラマー,見せない,日中,4,自然,1,1.860786712665806,0.69294035,0.34554082
DB124201,通年,一般,見せない,日中,3,自然,1,0.0,0.5691271,0.45280558
DB124202,通年,一般,見せない,日中,3,自然,1,0.0,0.5691271,0.45280558
DB12422,通年,一般,見せない,日中,3,自然,1,0.0,0.5691271,0.45280558
DB12424,通年,一般,見せない,日中,3,自然,1,0.0,0.5691271,0.45280558
DB124302,通年,一般,見せない,日中,4,自然,1,1.2093499038878768,0.7022085,0.47612587
DB125101,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
DB125102,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
DB125103,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
DB125202,通年,一般,見せない,日中,3,自然,1,0.0,0.5691271,0.45280558
DB125203,通年,一般,見せない,日中,3,自然,1,0.0,0.5691271,0.45280558
DB125401,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
DB524201,通年,プチ~一般,見せない,日中,2,自然,5,1.2093499038878768,0.70915866,0.19096756
DB524203,通年,一般~グラマー,見せない,日中,2,自然,3,0.0,0.42217523,0.122997224
DB525101,通年,一般,見せない,日中,4,自然,1,1.2093499038878768,0.7022085,0.47612587
DB525102,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
DB525103,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
DB525104,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
DB525202,通年,プチ~一般,見せない,日中,2,自然,5,1.2093499038878768,0.70915866,0.19096756
DB525204,通年,一般~グラマー,見せない,日中,2,自然,3,0.0,0.42217523,0.122997224
DB525207,通年,一般~グラマー,見せない,日中,3,自然,3,1.2093499038878768,0.40651584,0.31057748
DB525301,通年,一般,見せる,日中,2,自然,,1.4142135623730951,0.27960178,0.37495473
DB525404,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
DB525406,通年,一般~グラマー,見せない,日中,4,自然,1,1.860786712665806,0.481433,0.59893847
ME06601,夏,一般~グラマー,見せない,all,4,高さ/自然,7,0.0,1.0,0.46143904
ME08503,通年,一般,見せない,就寝,2,自然,0,1.9999999999999998,0.61179423,0.08227888
ME09502,夏,一般~グラマー,見せない,all,4,高さ/自然,7,0.0,1.0,0.46143904
ME118307,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.0,0.78410935,0.77016294
ME122105,通年,一般~グラマー,見せない,all,4,高さ,7,2.0,0.8689983,0.2830247
ME123102,夏,一般,見せない,日中,5,高さ,6,2.3372049952953673,0.9859118,0.22937907
ME123103,通年,一般~グラマー,見せない,all,4,高さ/自然,7,1.4142135623730951,0.93174493,0.36615476
ME124103,夏,一般~グラマー,見せない,all,4,高さ/自然,7,0.0,1.0,0.46143904
ME124301,夏,一般~グラマー,見せない,日中,4,高さ/自然,7,1.4142135623730951,0.45676622,0.85795987
ME124302,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.62081623,0.6795439
ME124303,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.0,0.78410935,0.77016294
ME124304,通年,一般~グラマー,見せない,all,2,自然,0,0.0,0.50763834,0.2651739
ME125101,通年,一般~グラマー,見せない,日中,4,高さ,1,2.3372049952953673,0.46113068,0.70662034
ME125102,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.0,0.78410935,0.77016294
ME125301,夏,プチ~一般,見せない,日中,3,高さ/自然,4,1.4142135623730951,0.7996935,0.045030296
ME125302,通年,一般,見せない,就寝,3,高さ/自然,6,1.860786712665806,0.0,0.4338913
ME125303,通年,一般~グラマー,見せない,all,2,自然,0,0.0,0.50763834,0.2651739
ME126101,通年,プチ,見せない,就寝,2,自然,0,1.9999999999999998,0.5914927,0.0
ME126103,夏,プチ~一般,見せる,日中,2,自然,,1.4142135623730951,0.20785502,0.68222195
ME126104,夏,一般~グラマー,見せる,日中,2,自然,,1.4142135623730951,0.110284954,0.6459813
ME518306,通年,プチ~一般,見せない,日中,3,高さ/自然,4,0.0,0.78410935,0.77016294
ME522301,通年,一般~グラマー,見せない,all,4,高さ/自然,7,1.4142135623730951,0.93174493,0.36615476
ME524301,夏,一般~グラマー,見せない,日中,4,高さ/自然,7,1.4142135623730951,0.45676622,0.85795987
ME524302,通年,一般,見せない,日中,4,高さ/自然,6,0.0,0.83265114,0.5282022
ME525101,夏,一般,見せる,日中,2,自然,,0.0,0.19048795,0.52097666
ME525301,夏,プチ~一般,見せない,日中,3,高さ/自然,4,1.4142135623730951,0.7996935,0.045030296
ME525303,通年,一般,見せない,日中,4,高さ/自然,6,0.0,0.83265114,0.5282022
