品番,店舗展開,写真,名前,cluster,medoid_score,tsne_x,tsne_y,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,Shop_初速3か月（月割）,Shop_初速3か月（平均）,EC_初速3か月（月割）,EC_初速3か月（平均）,Shop&EC_初速3か月（月割）,Sho&EC_初速3か月（平均）,top10
BT09501,1.0,BT09501.jpg,パテッドブラ,2,0.0,0.8792303,0.21192443,FIT,店舗・EC,"6,000",2026SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,0.0,0.0,0.0,0.0,0.0,0.0,0
BT09503,1.0,BT09503.jpg,チュールブラキャミ,2,9.313225746154783e-10,0.8792303,0.21192443,FIT,店舗・EC,"7,500",2026SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,0.0,0.0,0.0,0.0,0.0,0.0,0
CA525301,1.0,CA525301.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗﾄｯﾌﾟ25A1,4,0.032772504,0.52142894,0.83954346,NY,店舗・EC,"7,500",2025AW,2025年7月,通年,0,なし,一般,見せる,日中,3,高さ/自然,585.0,195.0,75.0,37.0,660.0,232.0,0
CA525104,1.0,CA525104.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ25S1,4,0.032772504,0.52142894,0.83954346,NY,店舗・EC,"7,200",2025SS,2025年3月,通年,0,なし,一般,見せる,日中,3,高さ/自然,522.0,174.0,86.0,28.0,608.0,202.0,0
CA526101,1.0,CA526101.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ26S1,2,0.019207563,0.7885666,0.3008151,NY,店舗・EC,"8,000",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,3,高さ/自然,0.0,0.0,0.0,0.0,0.0,0.0,0
CA126106,1.0,CA126106.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S1,1,0.006247644,0.88980234,0.791095,NY,店舗・EC,"11,000",2026SS,2026年2月,通年,0,なし,一般,見せない,日中,4,高さ,0.0,0.0,0.0,0.0,0.0,0.0,0
CA126115,1.0,CA126115.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S2,1,0.006247644,0.88980234,0.791095,NY,店舗・EC,"11,000",2026SS,2026年4月,通年,0,なし,一般,見せない,日中,4,高さ,0.0,0.0,0.0,0.0,0.0,0.0,0
DB12417,,DB12417.jpg,2026年2月TPﾌﾞﾗ,1,0.040103676,0.695611,0.7348157,PEACE,テレビ・EC,"5,800",通年QVC,2026年2月,通年,0,なし,グラマー,見せない,日中,4,自然,,,,,,,0
DB12420,,DB12420.jpg,2026年5月TPﾌﾞﾗｷｬﾐ,1,0.040103676,0.695611,0.7348157,PEACE,テレビ・EC,"7,400",通年QVC,2026年5月,通年,0,なし,グラマー,見せない,日中,4,自然,,,,,,,0
DB124201,,DB124201.jpg,すらっと細みえﾌﾛﾝﾄﾌｧｽﾅｰﾌﾞﾗ24,3,0.009519282,0.2338959,0.747425,PEACE,テレビ・EC,"5,800",通年QVC,2024年8月,通年,0,なし,一般,見せない,日中,3,自然,,,786.0,262.0,788.0,264.0,0
