品番,シーズン,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y
BT09501,夏,一般,見せる,日中,2,自然,1,0.0,0.0946058,0.33716595
BT09503,夏,一般,見せる,日中,2,自然,1,0.0,0.0946058,0.33716595
CA525301,通年,一般,見せる,日中,3,高さ/自然,5,0.04907489228089186,0.32020164,0.30894238
CA525104,通年,一般,見せる,日中,3,高さ/自然,5,0.04907489228089185,0.32020164,0.30894238
CA526101,夏,一般,見せる,日中,3,高さ/自然,1,0.021156139182641222,0.19136524,0.30451655
CA126106,通年,一般,見せない,日中,4,高さ,3,0.013793991425988025,0.80968463,0.62358713
CA126115,通年,一般,見せない,日中,4,高さ,3,0.013793991425987947,0.80968463,0.62358713
DB12417,通年,グラマー,見せない,日中,4,自然,3,0.04257364846992573,0.7081788,0.61873674
DB12420,通年,グラマー,見せない,日中,4,自然,3,0.04257364846992572,0.7081788,0.61873674
DB124201,通年,一般,見せない,日中,3,自然,2,0.0030576327395300776,0.44922608,0.56867236
DB124202,通年,一般,見せない,日中,3,自然,2,0.0073038452975565495,0.5170834,0.46174616
DB12422,通年,一般,見せない,日中,3,自然,2,0.0038640187244006236,0.57804286,0.4368605
DB12424,通年,一般,見せない,日中,3,自然,2,0.0,0.50920117,0.5334088
DB124302,通年,一般,見せない,日中,4,自然,2,0.03948954932958628,0.60785294,0.63075995
DB125101,通年,プチ~一般,見せない,日中,3,自然,5,0.002511422120357287,0.46138823,0.028314352
DB125102,通年,プチ~一般,見せない,日中,3,自然,5,6.585445079827193e-10,0.40928602,0.10712743
DB125103,通年,プチ~一般,見せない,日中,3,自然,5,0.0,0.40928602,0.10712743
DB125202,通年,一般,見せない,日中,3,自然,2,0.025539134422161387,0.5088016,0.3803832
DB125203,通年,一般,見せない,日中,3,自然,2,0.0011430034356685167,0.4509583,0.48625255
DB125401,通年,プチ~一般,見せない,日中,3,自然,5,0.015209436012519824,0.5528344,0.04188788
DB524201,通年,プチ~一般,見せない,日中,2,自然,0,0.045126222454610475,0.66843516,0.07887143
DB524203,通年,一般~グラマー,見せない,日中,2,自然,4,0.00609026235831763,0.40109068,0.86175597
DB525101,通年,一般,見せない,日中,4,自然,2,0.03948954932958628,0.60785294,0.63075995
DB525102,通年,プチ~一般,見せない,日中,3,自然,5,0.009306626611766207,0.56912917,0.25381863
DB525103,通年,プチ~一般,見せない,日中,3,自然,5,0.010894382655427148,0.5007463,0.10883343
DB525104,通年,プチ~一般,見せない,日中,3,自然,5,0.010894382655427108,0.5007463,0.10883343
DB525202,通年,プチ~一般,見せない,日中,2,自然,0,0.039367960056482604,0.6940796,0.15024602
DB525204,通年,一般~グラマー,見せない,日中,2,自然,4,0.0,0.30947542,0.8838383
DB525207,通年,一般~グラマー,見せない,日中,3,自然,2,0.02420485404181733,0.6207124,0.5073898
DB525301,通年,一般,見せる,日中,2,自然,1,0.009027586153523691,0.119918585,0.50776017
DB525404,通年,プチ~一般,見せない,日中,3,自然,5,0.009090194636249268,0.5283219,0.18827248
DB525406,通年,一般~グラマー,見せない,日中,4,自然,3,0.044975911400106545,0.68172395,0.70445645
ME06601,夏,一般~グラマー,見せない,all,4,高さ/自然,3,0.032927101895599366,0.93667793,0.59390163
ME08503,通年,一般,見せない,就寝,2,自然,0,0.024212736272848936,0.7792971,0.17815554
ME09502,夏,一般~グラマー,見せない,all,4,高さ/自然,3,0.033537608142481516,0.9478451,0.5037248
ME118307,通年,プチ~一般,見せない,日中,3,高さ/自然,5,0.020513733862924557,0.4102887,0.28443193
ME122105,通年,一般~グラマー,見せない,all,4,高さ,3,0.03219782746055943,1.0,0.57977307
ME123102,夏,一般,見せない,日中,5,高さ,3,0.011327666312407161,0.9140381,0.73868275
ME123103,通年,一般~グラマー,見せない,all,4,高さ/自然,3,0.023667294388887466,0.87558186,0.5425422
ME124103,夏,一般~グラマー,見せない,all,4,高さ/自然,3,0.02961637477389965,0.969489,0.6704484
ME124301,夏,一般~グラマー,見せない,日中,4,高さ/自然,3,0.00706616960206408,0.8817216,0.6556655
ME124302,通年,プチ~一般,見せない,日中,3,自然,5,0.010200217719381432,0.578954,0.13873577
ME124303,通年,プチ~一般,見せない,日中,3,高さ/自然,5,0.027296783857687384,0.3679855,0.21126497
ME124304,通年,一般~グラマー,見せない,all,2,自然,4,0.04739956402483246,0.3394565,0.7567459
ME125101,通年,一般~グラマー,見せない,日中,4,高さ,3,0.0,0.8371124,0.7352917
ME125102,通年,プチ~一般,見せない,日中,3,高さ/自然,5,0.014820228747552617,0.4865678,0.2727486
ME125301,夏,プチ~一般,見せない,日中,3,高さ/自然,5,0.010095669480647398,0.44711983,0.19273782
ME125302,通年,一般,見せない,就寝,3,高さ/自然,0,0.05734646396600972,0.8432841,0.21442449
ME125303,通年,一般~グラマー,見せない,all,2,自然,4,0.04739956402483249,0.3394565,0.7567459
ME126101,通年,プチ,見せない,就寝,2,自然,0,0.0035444379528816517,0.7979645,0.05188644
ME126103,夏,プチ~一般,見せる,日中,2,自然,1,0.0006906913958791416,0.1648761,0.42003763
ME126104,夏,一般~グラマー,見せる,日中,2,自然,1,0.0006906913958797696,0.1648761,0.42003763
ME518306,通年,プチ~一般,見せない,日中,3,高さ/自然,5,0.014820228747552587,0.4865678,0.2727486
ME522301,通年,一般~グラマー,見せない,all,4,高さ/自然,3,0.023667294388887487,0.87558186,0.5425422
ME524301,夏,一般~グラマー,見せない,日中,4,高さ/自然,3,0.00706616960206408,0.8817216,0.6556655
ME524302,通年,一般,見せない,日中,4,高さ/自然,3,0.012616120350835912,0.7717269,0.7065425
