品番,シーズン,タイプ,シーン1,シーン2,補整力,シルエット,cluster,medoid_score,tsne_x,tsne_y,tsne_x_pred,tsne_y_pred
BT09501,夏,一般,見せる,日中,2,自然,2,0.0,0.8792303,0.21192443,0.8341940126687492,0.19039574235338846
BT09503,夏,一般,見せる,日中,2,自然,2,9.313225746154783e-10,0.8792303,0.21192443,0.8341940126687492,0.19039574235338846
CA525301,通年,一般,見せる,日中,3,高さ/自然,4,0.0327725042580505,0.52142894,0.83954346,0.9128517476741453,0.6695630259311446
CA525104,通年,一般,見せる,日中,3,高さ/自然,4,0.0327725042580505,0.52142894,0.83954346,0.9128517476741453,0.6695630259311446
CA526101,夏,一般,見せる,日中,3,高さ/自然,2,0.0192075627599944,0.7885666,0.3008151,1.0947480467777388,0.579952100108166
CA126106,通年,一般,見せない,日中,4,高さ,1,0.0062476440170047,0.88980234,0.791095,0.825433291677059,0.7964455360275559
CA126115,通年,一般,見せない,日中,4,高さ,1,0.0062476440170048,0.88980234,0.791095,0.825433291677059,0.7964455360275559
DB12417,通年,グラマー,見せない,日中,4,自然,1,0.0401036759301155,0.695611,0.7348157,0.593720833122335,0.6727587857402101
DB12420,通年,グラマー,見せない,日中,4,自然,1,0.0401036759301155,0.695611,0.7348157,0.593720833122335,0.6727587857402101
DB124201,通年,一般,見せない,日中,3,自然,3,0.0095192816511106,0.2338959,0.747425,0.35045884617001055,0.5560774891274172
DB124202,通年,一般,見せない,日中,3,自然,3,0.0095192816511106,0.2338959,0.747425,0.35045884617001055,0.5560774891274172
DB12422,通年,一般,見せない,日中,3,自然,3,0.0110746010447276,0.24934584,0.6377522,0.35045884617001055,0.5560774891274172
DB12424,通年,一般,見せない,日中,3,自然,3,0.0204077147403558,0.31537807,0.69323516,0.35045884617001055,0.5560774891274172
DB124302,通年,一般,見せない,日中,4,自然,4,0.0139231484219869,0.53548974,0.6174743,0.42663963085351336,0.8303999677377324
DB125101,通年,プチ~一般,見せない,日中,3,自然,3,0.0061808617578809,0.094744205,0.6723608,0.1720038565955595,0.700825627835591
DB125102,通年,プチ~一般,見せない,日中,3,自然,3,0.0061808617578809,0.094744205,0.6723608,0.1720038565955595,0.700825627835591
DB125103,通年,プチ~一般,見せない,日中,3,自然,3,0.0,0.17335606,0.67945653,0.1720038565955595,0.700825627835591
DB125202,通年,一般,見せない,日中,3,自然,3,0.0092679512806637,0.26600397,0.8396435,0.35045884617001055,0.5560774891274172
DB125203,通年,一般,見せない,日中,3,自然,3,0.0110746010447276,0.24934584,0.6377522,0.35045884617001055,0.5560774891274172
DB125401,通年,プチ~一般,見せない,日中,3,自然,3,0.0117053920911621,0.055315495,0.578282,0.1720038565955595,0.700825627835591
DB524201,通年,プチ~一般,見せない,日中,2,自然,3,0.0155057099367417,0.16531682,0.5643785,0.09582307191205675,0.4265031492252759
DB524203,通年,一般~グラマー,見せない,日中,2,自然,0,0.0028745244893203,0.37271625,0.14914328,0.35009567605814673,0.16844416420740416
DB525101,通年,一般,見せない,日中,4,自然,4,0.0139231484219868,0.53548974,0.6174743,0.42663963085351336,0.8303999677377324
DB525102,通年,プチ~一般,見せない,日中,3,自然,3,0.0025789298269102,0.1754927,0.8422976,0.1720038565955595,0.700825627835591
