品番,名前,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,商品ランク,売上規模,Rep,cluster,medoid_score,tsne_x,tsne_y,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
BT09501,パテッドブラ,FIT,店舗・EC,"6,000",2026SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,中,B,.,0,2,1.4142135623730951,0,0.40335575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT09503,チュールブラキャミ,FIT,店舗・EC,"7,500",2026SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,中,B,.,0,2,1.4142135623730951,0,0.40335575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA525301,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗﾄｯﾌﾟ25A1,NY,店舗・EC,"7,500",2025AW,2025年7月,通年,0,なし,一般,見せる,日中,3,高さ/自然,中,B,.,1,6,0,0.40717995,0.20405614,0,0,0,0,0,0,0,0,0,328,200,57,585,585,195
CA525104,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ25S1,NY,店舗・EC,"7,200",2025SS,2025年3月,通年,0,なし,一般,見せる,日中,3,高さ/自然,中,B,.,0,6,0,0.40717995,0.20405614,0,0,0,0,0,135,223,164,130,77,28,32,789,522,174
CA526101,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ26S1,NY,店舗・EC,"8,000",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,3,高さ/自然,中,B,.,0,6,1.4142135623730951,0.32005507,0.12940079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA126106,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S1,NY,店舗・EC,"11,000",2026SS,2026年2月,通年,0,なし,一般,見せない,日中,4,高さ,中,B,.,0,8,0,0.7350469,0.24332199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA126115,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S2,NY,店舗・EC,"11,000",2026SS,2026年4月,通年,0,なし,一般,見せない,日中,4,高さ,中,B,.,0,8,0,0.7350469,0.24332199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB12417,2026年2月TPﾌﾞﾗ,PEACE,テレビ・EC,"5,800",通年QVC,2026年2月,通年,0,なし,グラマー,見せない,日中,4,自然,中,B,.,0,1,1.860786712665806,0.9742226,0.37893644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB12420,2026年5月TPﾌﾞﾗｷｬﾐ,PEACE,テレビ・EC,"7,400",通年QVC,2026年5月,通年,0,なし,グラマー,見せない,日中,4,自然,中,B,.,0,1,1.860786712665806,0.9742226,0.37893644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB124201,すらっと細みえﾌﾛﾝﾄﾌｧｽﾅｰﾌﾞﾗ24,PEACE,テレビ・EC,"5,800",通年QVC,2024年8月,通年,0,なし,一般,見せない,日中,3,自然,中,C,.,0,1,0,0.5343655,0.4586499,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2
DB124202,すらっと細みえｽﾑｰｽﾞｶｯﾌﾟﾌﾛﾝﾄﾌｧｽﾅｰﾌﾞﾗ24,PEACE,テレビ・EC,"5,800",通年QVC,2024年8月,通年,0,なし,一般,見せない,日中,3,自然,中,C,.,0,1,0,0.5343655,0.4586499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB12422,2026年4月TSVﾌﾞﾗ,PEACE,テレビ・EC,"6,300",通年QVC,2026年4月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,1,1,0,0.5343655,0.4586499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB12424,2026年4月TSVﾌﾞﾗｷｬﾐ,PEACE,テレビ・EC,"7,400",通年QVC,2026年4月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,0,1,0,0.5343655,0.4586499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB124302,やさしくﾊﾞｽﾄｷｬｯﾁ綿混ﾉﾝﾜｲﾔｰﾌﾞﾗ24,PEACE,テレビ・EC,"6,300",通年QVC,2024年9月,通年,0,なし,一般,見せない,日中,4,自然,中,C,.,0,1,1.2093499038878768,0.6848774,0.36800957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB125101,ﾋﾞｭｰﾃｨﾌﾙﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,1,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,2,0,3,3,2,10,5,1
DB125102,ｽﾑｰｽﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,1,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,0,4,7,2,2,15,13,4
DB125103,ﾊｰﾄﾌﾙｶｯﾌﾟｶｼｭｸｰﾙﾌﾞﾗﾌﾟﾚｰﾝﾀｲﾌﾟ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,1,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB125202,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,1,1,0,0.5343655,0.4586499,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
DB125203,細みえｼﾝﾌﾟﾙﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,1,1,0,0.5343655,0.4586499,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
DB125401,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗ25,PEACE,テレビ・EC,"5,800",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,3,0,0.69364023,0.6398931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB524201,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ24,PEACE,テレビ・EC,"6,000",通年QVC,2024年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱,C,.,0,0,1.4142135623730951,0.6488563,0.8092061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB524203,綿混楽々ﾊﾞｽﾄｷｰﾌﾟｷｬﾐ24,PEACE,テレビ・EC,"5,200",通年QVC,2024年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,0,0,0,0.35910004,0.6902382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
