ブランド名,チャネル,品番,名前,写真,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン,シーン,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,総計,初速3か月（月割）,初速3か月（平均）
FIT,店舗・EC,BT09501,パテッドブラ,-,"6,000",2026SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,中,B,,8,2.016716829,0.17472577,0.5976758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIT,店舗・EC,BT09503,チュールブラキャミ,-,"7,500",2026SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,中,B,,8,2.25263141,0.1606816,0.6691575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,店舗・EC,CA525301,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗﾄｯﾌﾟ25A1,-,"7,500",2025AW,2025年7月,通年,0,なし,一般,見せる,日中,3,高さ/自然,中,B,,7,0,0.22658837,0.8947151,1,0,0,0,0,0,0,0,0,0,328,200,57,585,585,195
NY,店舗・EC,CA525104,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ25S1,画像,"7,200",2025SS,2025年3月,通年,0,なし,一般,見せる,日中,3,高さ/自然,中,B,,7,0.259126932,0.24291241,0.833544,0,0,0,0,0,0,135,223,164,130,77,28,32,789,522,174
NY,店舗・EC,CA526101,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ26S1,-,"8,000",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,3,高さ/自然,中,B,,7,1.478688201,0.17795396,0.84021163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,店舗・EC,CA126106,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S1,-,"11,000",2026SS,2026年2月,通年,0,なし,一般,見せない,日中,4,高さ,中,B,,7,3.821249563,0.9817852,0.39192086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,店舗・EC,CA126115,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S2,-,"11,000",2026SS,2026年4月,通年,0,なし,一般,見せない,日中,4,高さ,中,B,,7,3.821249563,0.9817852,0.39192086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB12417【仮】,2026年2月TPﾌﾞﾗ,-,"5,800",通年QVC,2026年2月,通年,0,なし,グラマー,見せない,日中,4,自然,中,B,,9,1.657128597,0.5731651,0.8504466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB12420【仮】,2026年5月TPﾌﾞﾗｷｬﾐ,-,"7,400",通年QVC,2026年5月,通年,0,なし,グラマー,見せない,日中,4,自然,中,B,,9,1.506182946,0.5002202,0.8402002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACE,テレビ・EC,DB124201,すらっと細みえﾌﾛﾝﾄﾌｧｽﾅｰﾌﾞﾗ24,画像,"5,800",通年QVC,2024年8月,通年,0,なし,一般,見せない,日中,3,自然,中,C,,5,0.43187822,0.41783613,0.55826414,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2
