品番,ブランド名,チャネル,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,上代数値,cluster,medoid_score,tsne_x,tsne_y
CA115101,NY,店舗,通年　,1,あり,一般,見せない,日中,5,自然,8900,2,2.035442685,0.1885106,0.08139777
BT125101,FIT,店舗・EC,夏,なし,あり,一般,見せない,日中,4,自然,10000,3,0.343808187,0.32088548,0.576276
BT125103,FIT,店舗・EC,夏,なし,あり,一般,見せない,日中,4,自然,10000,3,0.343808187,0.3375044,0.5176716
BT09501,FIT,店舗・EC,夏,なし,なし,一般,見せる,日中,2,自然,6000,7,2.004722587,0.6043149,0
BT09503,FIT,店舗・EC,夏,なし,なし,一般,見せる,日中,2,自然,7500,7,2.1039764,0.5788695,0.001876831
CA02517,FIT,店舗・EC,夏,なし,あり,一般,見せない,日中,4,自然,9000,3,0,0.33994406,0.6350139
BT125102,FIT,店舗・EC,夏,なし,あり,一般,見せない,日中,4,自然,8000,3,0.343808187,0.35911632,0.58372366
BT07508,FIT,店舗・EC,夏,なし,あり,一般,見せない,日中,4,自然,8000,3,0.343808187,0.3709455,0.51978904
BT126101,FIT,店舗・EC,夏,なし,あり,プチ~一般,見せない,日中,4,高さ/自然,8200,3,2.018824065,0.37548995,0.71828973
CA118103,FIT,店舗・EC,夏,なし,あり,プチ~一般,見せない,日中,4,高さ/自然,7900,3,2.035442685,0.39927024,0.69950867
CA122315,FIT,店舗・EC,夏,なし,あり,一般~グラマー,見せない,日中,4,自然,7900,3,1.4639081,0.394032,0.5938686
CA119310,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ,9800,5,1.603779192,0.23131084,0.8820392
CA124301,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,9000,2,0.343808187,0.2130419,0.17422217
CA124302,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ,11000,5,0.343808187,0.1681341,0.6726135
CA124303,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,12000,0,0,0.04236579,0.7608263
CA124304,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,10000,2,0,0.17557955,0.20259106
CA124305,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,11000,0,0.343808187,0.11163926,0.6525779
CA124306,NY,店舗・EC,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,11000,8,0,0.031294107,0.42449373
CA124307,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ,12000,5,1.414213562,0.20136738,0.91275835
CA124308,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,10000,2,0,0.20539117,0.27057582
CA124309,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ,12000,5,0,0.19577157,0.75208664
CA124310,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,11000,2,0.343808187,0.1869601,0.34412837
CA124311,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,12000,0,0,0.04236579,0.7608263
CA124312,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ/自然,15000,0,1.750381851,0.09845054,1
CA124313,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,9500,0,0.859520468,0.10386491,0.56547314
CA125101,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ,11000,5,0.343808187,0.1681341,0.6726135
CA125102,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,9000,2,0.343808187,0.23863244,0.22638828
CA125103,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,11000,0,0.343808187,0.03119123,0.6637367
CA125104,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,10000,2,0,0.20539117,0.27057582
CA125106,NY,店舗・EC,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,11000,8,0,0.031294107,0.42449373
CA125107,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ,13000,5,0.343808187,0.15687907,0.80083245
CA125108,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,11000,2,0.343808187,0.15795606,0.28703302
CA125109,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ/自然,14000,0,1.572519087,0.11224115,0.92102957
CA125110,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,12000,0,0,0.04236579,0.7608263
CA125111,NY,店舗・EC,通年,なし,あり,グラマー,見せない,日中,4,自然,12000,8,1.672752313,0.045479536,0.2733183
CA125112,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,9500,0,0.859520468,0.06799066,0.6140529
CA125113,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,9500,0,0.859520468,0.06799066,0.6140529
CA525104,NY,店舗・EC,通年,0,なし,一般,見せる,日中,3,高さ/自然,7200,1,2.52645625,0.54733574,0.3950739
CA125301,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,9000,2,0.343808187,0.27088088,0.25104845
CA125302,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ,12000,5,0,0.19577157,0.75208664
CA125303,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ,14000,5,1.572519087,0.16886044,0.957862
CA125304,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,12000,0,0,0.08948344,0.7446629
CA125305,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,10000,2,0,0.22114062,0.34936833
CA125306,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,12000,0,0,0.08948344,0.7446629
CA125307,NY,店舗・EC,通年,なし,あり,グラマー,見せない,日中,4,自然,12000,8,1.672752313,0.045479536,0.2733183
CA125308,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,11000,2,0.343808187,0.15795606,0.28703302
CA125309,NY,店舗・EC,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,11000,8,0,0,0.45670658
CA125310,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ,13000,5,0.343808187,0.15687907,0.80083245
CA125312,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,12000,2,0.687616374,0.15334499,0.39220697
CA125313,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,15000,0,1.031424561,0.063217044,0.8755466
CA125314,NY,店舗・EC,通年,3,あり,一般,見せない,日中,5,高さ/自然,15000,0,1.750381851,0.09845054,1
CA125315,NY,店舗・EC,通年,1,あり,一般,見せない,日中,5,自然,9200,2,0.27504655,0.24895442,0.31411803
CA125316,NY,店舗・EC,通年,2,あり,一般,見せない,日中,5,高さ/自然,9500,0,0.859520468,0.06799066,0.6140529
CA525301,NY,店舗・EC,通年,0,なし,一般,見せる,日中,3,高さ/自然,7500,1,2.553679688,0.52319556,0.3950839
