品番,名前,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,商品ランク,売上規模,cluster,medoid_score,tsne_x,tsne_y,Rep
BT09501,パテッドブラ,FIT,店舗・EC,"6,000",2026SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,中,B,.,8,2.016716829,0.17472577,0.5976758,0
BT09503,チュールブラキャミ,FIT,店舗・EC,"7,500",2026SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,中,B,.,8,2.25263141,0.1606816,0.6691575,0
CA525301,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗﾄｯﾌﾟ25A1,NY,店舗・EC,"7,500",2025AW,2025年7月,通年,0,なし,一般,見せる,日中,3,高さ/自然,中,B,.,7,0,0.22658837,0.8947151,1
CA525104,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ25S1,NY,店舗・EC,"7,200",2025SS,2025年3月,通年,0,なし,一般,見せる,日中,3,高さ/自然,中,B,.,7,0.259126932,0.24291241,0.833544,0
CA526101,ﾌﾞﾗﾃﾞﾘｽ ﾚｰｼｨﾌﾞﾗｷｬﾐ26S1,NY,店舗・EC,"8,000",2026SS,2026年3月,夏,0,なし,一般,見せる,日中,3,高さ/自然,中,B,.,7,1.478688201,0.17795396,0.84021163,0
CA126106,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S1,NY,店舗・EC,"11,000",2026SS,2026年2月,通年,0,なし,一般,見せない,日中,4,高さ,中,B,.,7,3.821249563,0.9817852,0.39192086,0
CA126115,ﾌﾞﾗﾃﾞﾘｽ ﾉﾝﾜｲﾔｰﾌﾞﾗ26S2,NY,店舗・EC,"11,000",2026SS,2026年4月,通年,0,なし,一般,見せない,日中,4,高さ,中,B,.,7,3.821249563,0.9817852,0.39192086,0
DB12417【仮】,2026年2月TPﾌﾞﾗ,PEACE,テレビ・EC,"5,800",通年QVC,2026年2月,通年,0,なし,グラマー,見せない,日中,4,自然,中,B,.,9,1.657128597,0.5731651,0.8504466,0
DB12420【仮】,2026年5月TPﾌﾞﾗｷｬﾐ,PEACE,テレビ・EC,"7,400",通年QVC,2026年5月,通年,0,なし,グラマー,見せない,日中,4,自然,中,B,.,9,1.506182946,0.5002202,0.8402002,0
DB124201,すらっと細みえﾌﾛﾝﾄﾌｧｽﾅｰﾌﾞﾗ24,PEACE,テレビ・EC,"5,800",通年QVC,2024年8月,通年,0,なし,一般,見せない,日中,3,自然,中,C,.,5,0.43187822,0.41783613,0.55826414,0
DB124202,すらっと細みえｽﾑｰｽﾞｶｯﾌﾟﾌﾛﾝﾄﾌｧｽﾅｰﾌﾞﾗ24,PEACE,テレビ・EC,"5,800",通年QVC,2024年8月,通年,0,なし,一般,見せない,日中,3,自然,中,C,.,5,0.43187822,0.41783613,0.55826414,0
DB12422【仮】,2026年4月TSVﾌﾞﾗ,PEACE,テレビ・EC,"6,300",通年QVC,2026年4月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,5,0,0.40962505,0.6612631,1
DB12424【仮】,2026年4月TSVﾌﾞﾗｷｬﾐ,PEACE,テレビ・EC,"7,400",通年QVC,2026年4月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,5,0.950132083,0.36497283,0.75277954,0
DB124302,やさしくﾊﾞｽﾄｷｬｯﾁ綿混ﾉﾝﾜｲﾔｰﾌﾞﾗ24,PEACE,テレビ・EC,"6,300",通年QVC,2024年9月,通年,0,なし,一般,見せない,日中,4,自然,中,C,.,5,1.209349904,0.4426431,0.7775079,0
DB125101,ﾋﾞｭｰﾃｨﾌﾙﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,0,0.5176648,0.61132574,1
DB125102,ｽﾑｰｽﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,0,0.5176648,0.61132574,1
DB125103,ﾊｰﾄﾌﾙｶｯﾌﾟｶｼｭｸｰﾙﾌﾞﾗﾌﾟﾚｰﾝﾀｲﾌﾟ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,0,0.5176648,0.61132574,1
DB125202,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,5,0,0.40962505,0.6612631,1
DB125203,細みえｼﾝﾌﾟﾙﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗ25,PEACE,テレビ・EC,"6,300",通年QVC,2025年8月,通年,0,なし,一般,見せない,日中,3,自然,中,B,.,5,0,0.40962505,0.6612631,1
DB125401,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗ25,PEACE,テレビ・EC,"5,800",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,0.43187822,0.5815879,0.570047,0
DB524201,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ24,PEACE,テレビ・EC,"6,000",通年QVC,2024年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱,C,.,0,1.236799886,0.5113473,0.47556174,0
DB524203,綿混楽々ﾊﾞｽﾄｷｰﾌﾟｷｬﾐ24,PEACE,テレビ・EC,"5,200",通年QVC,2024年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱,C,.,0,2.089324811,0.575328,0.31372482,0
DB525101,綿さらﾀｯﾁ!ﾅﾁｭﾗﾙﾌｨｯﾄﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"7,300",通年QVC,2025年3月,通年,0,なし,一般,見せない,日中,4,自然,中,C,.,9,1.478688201,0.40478605,0.8451576,0
DB525102,ﾋﾞｭｰﾃｨﾌﾙﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,0.950132083,0.5643195,0.71660316,0
DB525103,ｽﾑｰｽﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"7,400",通年QVC,2025年4月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,0.950132083,0.5643195,0.71660316,0
DB525104,ｱｸｾﾝﾄﾚｰｽﾊｰﾄﾌﾙｶｯﾌﾟﾌﾞﾗｷｬﾐ,PEACE,EC,"5,000",通年QVC,2025年5月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,1.805787104,0.6238804,0.49433142,0
DB525202,ﾊｯﾋﾟｰﾊﾞｽﾄｱｯﾌﾟﾌﾞﾗｷｬﾐｿｰﾙ25,PEACE,テレビ・EC,"6,000",通年QVC,2025年6月,通年,0,なし,プチ~一般,見せない,日中,2,自然,弱,B,.,0,1.236799886,0.5113473,0.47556174,0
DB525204,綿混楽々dailyﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"5,500",通年QVC,2025年7月,通年,0,なし,一般~グラマー,見せない,日中,2,自然,弱,B,.,0,1.984947181,0.53395003,0.3601628,0
DB525207,細みえﾌﾛﾝﾄﾌｧｽﾅｰ綿混ﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"8,000",通年QVC,2025年8月,通年,0,なし,一般~グラマー,見せない,日中,3,自然,中,B,.,9,1.592757188,0.4406451,0.9358008,0
DB525301,ｼｬｲﾆｰﾍﾞﾛｱﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"6,000",通年QVC,2025年10月,通年,0,なし,一般,見せる,日中,2,自然,弱,B,.,5,1.878742653,0.32498884,0.53398454,0
DB525404,綿混ｽﾄﾚｯﾁﾊｲﾌﾞﾘｯﾄﾞﾊｰﾄｶｯﾌﾟﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"7,300",通年QVC,2025年2月,通年,0,なし,プチ~一般,見せない,日中,3,自然,中,C,.,0,0.863756439,0.49814177,0.7189223,0
DB525406,綿混ｷｬｯﾁｬｰｶｯﾌﾟﾚｰｽﾌﾞﾗｷｬﾐ25,PEACE,テレビ・EC,"6,800",通年QVC,2025年12月,通年,0,なし,一般~グラマー,見せない,日中,4,自然,中,C,.,9,0,0.5189298,0.9299983,1
ME06601,新オールインワンライト,Me,店舗・EC,"5,400",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,.,4,0,0.8879534,0.9044672,0
ME08503,シルク混ナイトブラ,Me,店舗・EC,"5,400",定番,通年,通年,0,なし,一般,見せない,就寝,2,自然,弱,A,.,6,2.029623618,0.4240337,0.26262563,0
ME09502,新オールインワンライトブラキャミ,Me,店舗・EC,"6,000",定番,通年,夏,0,なし,一般~グラマー,見せない,all,4,高さ/自然,中,A,.,4,0.518253864,0.85305846,0.9701692,0
ME118307,BRADELISHUGME Bralette,Me,EC,"4,700",定番,通年,通年,0,なし,プチ~一般,見せない,日中,3,高さ/自然,中,A,◎,1,1.538043186,0.75595737,0.5463456,1
