品番,名前,写真,ブランド名,チャネル,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,上代,売上
WY067163,バラ,WY067163.jpg,NY,テレビ,24AW,2024年7月,冬,グラマー,あり,一般,見せる,就寝,2,高さ,強,0.505,1.9014
WJ430631, サクラ,WJ430631.jpg,NY,EC,25SS,2024年12月,通年,1,なし,一般,見せる,就寝,4,自然,弱,0.4554,-1.1456
XH393240, ユリ,XH393240.jpg,MAGIC,店舗・EC,定番,2025年12月,通年,グラマー,あり,一般,見せる,日中,2,自然,中,0.2963,-0.2499
IJ283088, ツバキ,IJ283088.jpg,MAGIC,EC,24AW,2024年1月,冬,2,なし,一般,見せる,日中,5,自然,弱,-0.782,1.5642
ZR856254, アジサイ,ZR856254.jpg,ピース,EC,25SS,2024年5月,冬,0,あり,グラマー,見せない,日中,4,自然,弱,0.7261,0.5176
WR597467, コスモス,WR597467.jpg,NY,テレビ,定番,2025年5月,通年,2,あり,一般,見せる,日中,3,高さ,強,1.1222,1.3678
GF348474, キキョウ,GF348474.jpg,NY,店舗,25SS,2025年10月,冬,3,なし,プチ,見せない,日中,3,高さ,強,-1.2299,1.6889
WY545759, ボタン,WY545759.jpg,MAGIC,店舗・EC,24AW,2024年8月,夏,1,あり,グラマー,見せる,就寝,2,高さ,弱,-0.4405,-0.4057
FT814555, ヒマワリ,FT814555.jpg,Me,店舗・EC,24AW,2024年7月,夏,1,あり,グラマー,見せる,就寝,5,高さ,中,0.5353,0.3498
JU393889, スミレ,JU393889.jpg,ピース,テレビ,24AW,2024年8月,冬,2,なし,グラマー,見せない,就寝,4,自然,弱,-0.1215,-0.5475
BF051547,ジャスミン,BF051547.jpg,NY,店舗,定番,2025年9月,通年,1,なし,一般,見せる,日中,2,高さ/自然,中,-0.6249,0.7187
DB316954,バラ,DB316954.jpg,NY,EC,24AW,2025年3月,夏,グラマー,あり,グラマー,見せない,就寝,5,高さ,弱,0.6395,0.5592
JD858061, サクラ,JD858061.jpg,Me,店舗,定番,2025年12月,夏,2,なし,グラマー,見せない,就寝,1,高さ/自然,中,-0.0866,-0.6084
AA780156, ユリ,AA780156.jpg,NY,店舗・EC,24AW,2024年6月,夏,0,あり,一般,見せない,日中,1,高さ,強,-0.3662,-0.1793
BJ860189, ツバキ,BJ860189.jpg,ピース,店舗・EC,定番,2024年9月,通年,1,あり,一般,見せない,就寝,2,高さ,中,-0.4945,1.2562
CL128693, アジサイ,CL128693.jpg,ピース,店舗・EC,25SS,2024年1月,通年,3,あり,プチ,見せる,日中,4,高さ,弱,-0.5628,-0.7848
XL393676, コスモス,XL393676.jpg,Me,EC,25SS,2025年3月,通年,3,あり,プチ,見せる,日中,1,高さ,中,1.7392,-0.6209
SJ372019, キキョウ,SJ372019.jpg,ピース,テレビ,24AW,2025年4月,夏,2,なし,グラマー,見せる,日中,3,高さ,強,0.4237,-1.5985
DP586030, ボタン,DP586030.jpg,NY,店舗,24AW,2024年6月,通年,グラマー,あり,グラマー,見せない,日中,4,高さ,強,-0.2661,-0.7368
AA598017, ヒマワリ,AA598017.jpg,MAGIC,テレビ,24AW,2024年1月,夏,3,あり,一般,見せる,日中,3,自然,中,0.9482,0.86
IH413600, スミレ,IH413600.jpg,MAGIC,EC,24AW,2024年10月,通年,1,あり,プチ,見せる,日中,5,自然,中,0.3671,1.0113
JX893057, スミレ,JX893057.jpg,NY,テレビ,24AW,2025年4月,夏,2,あり,プチ,見せない,日中,3,高さ,強,0.3629,0.0145
RJ664372, ユリ,RJ664372.jpg,NY,店舗・EC,24AW,2024年7月,夏,0,あり,グラマー,見せない,就寝,4,自然,弱,-0.8326,0.4976
YP599008, ツバキ,YP599008.jpg,Me,テレビ,定番,2025年5月,通年,2,あり,一般,見せない,就寝,3,高さ,弱,1.3088,0.2277
AU877814, アジサイ,AU877814.jpg,NY,テレビ,定番,2025年11月,夏,グラマー,あり,プチ,見せる,日中,1,高さ,弱,0.439,1.3496
TP712509, コスモス,TP712509.jpg,MAGIC,テレビ,24AW,2025年9月,夏,1,あり,プチ,見せない,就寝,3,高さ,強,1.8441,-1.2372
SV756975,ジャスミン,SV756975.jpg,ピース,店舗・EC,定番,2025年10月,通年,3,なし,一般,見せる,就寝,1,自然,中,0.0159,0.1827
