品番,img_file_Name,名前,存在チェック,ブランド名,チャネル,上代,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感
CA115101,CA115101.jpg,ジャスミン,×,NY,店舗,"8,900",定番,,通年　,1,あり,一般,見せない,日中,5,自然,強
BT125101,BT125101.jpg,ﾌﾞﾗﾃﾞﾘｽ ｽﾑｰｽﾞﾓｰﾙﾄﾞｶｯﾌﾟﾌﾞﾗ25S1,○,FIT,店舗・EC,"10,000",25SS,2025年3月,夏,なし,あり,一般,見せない,日中,4,自然,中
BT125103,BT125103.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾇｰﾃﾞｨﾓｰﾙﾄﾞｶｯﾌﾟﾌﾞﾗ25S1,○,FIT,店舗・EC,"10,000",25SS,2025年3月,夏,なし,あり,一般,見せない,日中,4,自然,弱
BT09501,BT09501.jpg,パテッドブラ,×,FIT,店舗・EC,"6,000",26SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,中
BT09503,BT09503.jpg,チュールブラキャミ,×,FIT,店舗・EC,"7,500",26SS,2026年3月,夏,なし,なし,一般,見せる,日中,2,自然,中
CA02517,CA02517.jpg,ヌーディモールド26S1ブラ,×,FIT,店舗・EC,"9,000",26SS,2026年3月,夏,なし,あり,一般,見せない,日中,4,自然,弱
BT125102,BT125102.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾓｰﾙﾄﾞｶｯﾌﾟｽﾄﾗｯﾌﾟﾚｽﾌﾞﾗ,○,FIT,店舗・EC,"8,000",定番,通年,夏,なし,あり,一般,見せない,日中,4,自然,強
BT07508,BT07508.jpg,ストラップレス改良版,×,FIT,店舗・EC,"8,000",定番,通年,夏,なし,あり,一般,見せない,日中,4,自然,強
BT126101,BT126101.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾓｰﾙﾄﾞﾌｨｯﾄﾌﾞﾗ,×,FIT,店舗・EC,"8,200",定番,通年,夏,なし,あり,プチ~一般,見せない,日中,4,高さ/自然,強
CA118103,CA118103.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾓｰﾘｰﾌﾞﾗ,○,FIT,店舗・EC,"7,900",定番,通年,夏,なし,あり,プチ~一般,見せない,日中,4,高さ/自然,強
CA122315,CA122315.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼｰﾑﾚｽｶｯﾌﾟﾓｰﾙﾄﾞﾌﾞﾗ,○,FIT,店舗・EC,"7,900",定番,通年,夏,なし,あり,一般~グラマー,見せない,日中,4,自然,中
CA119310,CA119310.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳﾞｨｵﾗ ﾌﾞﾗ,○,NY,店舗・EC,"9,800",定番,通年,通年,3,あり,一般,見せない,日中,5,高さ,強
CA124301,CA124301.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ24A1,○,NY,店舗・EC,"9,000",24AW,2024年7月,通年,1,あり,一般,見せない,日中,5,自然,強
CA124302,CA124302.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ24A1,○,NY,店舗・EC,"11,000",24AW,2024年7月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA124303,CA124303.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾛｰｽﾞｽﾃｯﾌﾟ2ﾌﾞﾗ24A1,○,NY,店舗・EC,"12,000",24AW,2024年8月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA124304,CA124304.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｽﾃｯﾌﾟ1ﾌﾞﾗ24A1,○,NY,店舗・EC,"10,000",24AW,2024年8月,通年,1,あり,一般,見せない,日中,5,自然,中
CA124305,CA124305.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ24A1,○,NY,店舗・EC,"11,000",24AW,2024年9月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA124306,CA124306.jpg,ﾌﾞﾗﾃﾞﾘｽ ｴﾘﾝﾌﾞﾗ24A1,○,NY,店舗・EC,"11,000",24AW,2024年9月,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,強
CA124307,CA124307.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳﾞｨｵﾗｽﾃｯﾌﾟ3ﾌﾞﾗ24A1,○,NY,店舗・EC,"12,000",24AW,2024年9月,通年,3,あり,一般,見せない,日中,5,高さ,強
CA124308,CA124308.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ24A2,○,NY,店舗・EC,"10,000",24AW,2024年10月,通年,1,あり,一般,見せない,日中,5,自然,強
CA124309,CA124309.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ24A2,○,NY,店舗・EC,"12,000",24AW,2024年10月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA124310,CA124310.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｽﾃｯﾌﾟ1ﾌﾞﾗ24A2,○,NY,店舗・EC,"11,000",24AW,2024年10月,通年,1,あり,一般,見せない,日中,5,自然,中
CA124311,CA124311.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ24A2,○,NY,店舗・EC,"12,000",24AW,2024年11月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA124312,CA124312.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｸﾘｰﾝｽﾃｯﾌﾟ3ﾌﾞﾗ24A1,○,NY,店舗・EC,"15,000",24AW,2024年11月,通年,3,あり,一般,見せない,日中,5,高さ/自然,中
CA124313,CA124313.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ24A3,○,NY,店舗・EC,"9,500",24AW,2025年1月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA125101,CA125101.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ25S1,○,NY,店舗・EC,"11,000",25SS,2025年1月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA125102,CA125102.jpg,ﾌﾞﾗﾃﾞﾘｽ ｼﾞｬｽﾐﾝｽﾃｯﾌﾟ1ﾌﾞﾗ25S1,○,NY,店舗・EC,"9,000",25SS,2025年1月,通年,1,あり,一般,見せない,日中,5,自然,強
CA125103,CA125103.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾅｵﾐｽﾃｯﾌﾟ2ﾌﾞﾗ25S1,○,NY,店舗・EC,"11,000",25SS,2025年1月,通年,2,あり,一般,見せない,日中,5,高さ/自然,強
CA125104,CA125104.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｽﾃｯﾌﾟ1ﾌﾞﾗ25S1,○,NY,店舗・EC,"10,000",25SS,2025年3月,通年,1,あり,一般,見せない,日中,5,自然,中
CA125106,CA125106.jpg,ﾌﾞﾗﾃﾞﾘｽ ｴﾘﾝﾌﾞﾗ25S1,○,NY,店舗・EC,"11,000",25SS,2025年3月,通年,なし,あり,グラマー,見せない,日中,5,高さ/自然,強
CA125107,CA125107.jpg,ﾌﾞﾗﾃﾞﾘｽ ﾍﾞﾙｽﾃｯﾌﾟ2ﾌﾞﾗ25S2,○,NY,店舗・EC,"13,000",25SS,2025年4月,通年,2,あり,一般,見せない,日中,5,高さ,強
CA125108,CA125108.jpg,ﾌﾞﾗﾃﾞﾘｽ ｳｪﾝﾃﾞｨｿﾌﾄｽﾃｯﾌﾟ1ﾌﾞﾗ25S1,○,NY,店舗・EC,"11,000",25SS,2025年4月,通年,1,あり,一般,見せない,日中,5,自然,弱
