品番,AA598017,BC730662,BY520328,FT814555,GN888179,HQ186018,II067440,IL590822,JS348244,KY124041,LI971013,NO407338,OA139405,PA751345,RJ664372,SJ372019,TZ848437,VK309827,VP052641,WE759046,WW135442,YH305068,YI881281,ZW286556
AA598017,0.0,6.529641762754003e-06,2.808180220054999e-07,3.12965197181163e-05,5.183748856446199e-06,5.052418232009769e-06,5.180252435771674e-07,4.742040137822628e-06,3.871315033769518e-07,5.984881500688643e-06,3.4183119012929915e-06,1.2986175637878196e-05,4.268690459521915e-05,5.027017701330973e-07,8.722083309642632e-06,1.6995426896716496e-05,4.532725203851072e-06,0.0002744536846795,1.206711347570545e-05,4.680437023604807e-05,1.045302915152612e-05,1.7049566870219974e-07,1.980095920766792e-06,0.0015546081452552
BC730662,6.529641762754003e-06,0.0,0.0005994201751837,2.083826480810702e-06,2.014093365856702e-05,0.00158811968931,2.81939831314943e-05,4.0475283163511446e-05,2.5915067853749165e-05,9.662542461065818e-06,1.5315041470202857e-05,0.0003482035939996,1.7097483573146643e-05,1.462398778247656e-05,7.998901884815131e-05,4.52197925347774e-06,6.309617305918368e-07,6.664401237517766e-07,8.366628716013307e-06,0.0002437843004556,6.997574368997098e-05,9.241115862931882e-05,2.1227869997943744e-06,1.9247683294847123e-05
BY520328,2.808180220054999e-07,0.0005994201751837,0.0,2.122386147100728e-06,2.880942335965999e-05,9.427473528906214e-05,5.780708213854605e-06,5.171359062146574e-05,4.5019901520097896e-05,2.09714788164899e-05,2.5888981758839437e-05,1.235561112017421e-05,2.530296318272058e-06,0.001661064134567,3.364817517713256e-05,3.185200109180505e-07,3.3362715440831306e-06,1.651102395076628e-07,4.457591706822087e-06,1.919814108915176e-05,2.265864586568853e-05,0.0001395830087824,1.242935485231158e-06,4.954889122630434e-06
FT814555,3.12965197181163e-05,2.083826480810702e-06,2.122386147100728e-06,0.0,4.993483458938907e-07,1.1140005497092953e-06,1.775101386265483e-06,8.680713733444125e-05,3.279938928074211e-06,1.7633734328805142e-05,1.0973580195895156e-06,3.0784727098674382e-06,1.644615656836584e-05,2.5180579694755604e-07,0.0002270462067767,1.4598854724987064e-05,0.0015722694695505,0.0001257194609299,0.0002689396362067,2.774703918571431e-06,0.0004104190092617,2.0427691345420916e-06,1.472380602460886e-05,4.576141276927403e-05
GN888179,5.183748856446199e-06,2.014093365856702e-05,2.880942335965999e-05,4.993483458938907e-07,0.0,1.3800261344661564e-05,3.377226697028676e-06,6.715898903573326e-06,1.829210503821648e-06,4.407437676290674e-06,1.4797715517661338e-05,5.490425645749469e-07,0.0016371129574974,6.639015795937282e-05,2.7927504444287453e-07,2.519379997790997e-05,2.772504954767904e-06,7.930131254899289e-06,4.892931386787502e-06,2.8182813218696416e-06,5.5562665953964466e-08,6.20365946602785e-06,1.0934316277541545e-05,4.917724804786168e-05
HQ186018,5.052418232009769e-06,0.00158811968931,9.427473528906214e-05,1.1140005497092953e-06,1.3800261344661564e-05,0.0,1.5198893259387916e-05,8.36966863343928e-05,6.6411901546658785e-06,9.43693437882634e-06,1.6885381830647753e-05,0.0001143295742654,6.0520334262336275e-06,4.977242199251584e-06,3.3948423207684777e-06,1.8432838634751357e-05,7.31673814646292e-07,5.647755517012358e-06,1.0130997745488102e-05,0.0004438051830953,2.108943745517204e-05,4.818853783319888e-06,2.390967453216939e-06,1.8461342680130816e-06
II067440,5.180252435771674e-07,2.81939831314943e-05,5.780708213854605e-06,1.775101386265483e-06,3.377226697028676e-06,1.5198893259387916e-05,0.0,7.483868982162221e-06,8.263104428057053e-05,7.624394762878763e-06,0.0003530710061842,8.276246098846915e-06,5.100577205024352e-06,4.35887305751689e-05,5.84566939782114e-06,4.163732544410695e-06,8.493276522453328e-06,2.175471211171637e-06,1.0117133787637705e-05,7.354795903837471e-05,2.819821434413856e-05,0.0001072966946232,0.0018881550042606,9.258156955677318e-06
IL590822,4.742040137822628e-06,4.0475283163511446e-05,5.171359062146574e-05,8.680713733444125e-05,6.715898903573326e-06,8.36966863343928e-05,7.483868982162221e-06,0.0,5.581340451739697e-05,1.4960189217995113e-05,2.2047934466656728e-05,1.0953699372467186e-05,1.8502223834962212e-06,1.1357917465108254e-05,4.126146094620876e-05,3.964552683871436e-05,1.9622235618034235e-05,3.116822592149967e-05,0.0020185774655005,1.8252767460672965e-05,0.0003177709110374,2.1344712401529957e-06,6.108986938592057e-06,4.201989969440827e-06
JS348244,3.871315033769518e-07,2.5915067853749165e-05,4.5019901520097896e-05,3.279938928074211e-06,1.829210503821648e-06,6.6411901546658785e-06,8.263104428057053e-05,5.581340451739697e-05,0.0,5.223879045922965e-06,2.5356232394999555e-05,2.3805034674914812e-05,2.475727707657084e-07,7.678732472591022e-05,3.6734559997133826e-05,7.77048432248617e-06,2.5083088163480738e-06,4.902910357984577e-06,2.3352351530315483e-05,3.812685829890946e-06,6.524688871338364e-06,0.001581807459615,4.336337314382979e-05,1.8126981816922077e-06
KY124041,5.984881500688643e-06,9.662542461065818e-06,2.09714788164899e-05,1.7633734328805142e-05,4.407437676290674e-06,9.43693437882634e-06,7.624394762878763e-06,1.4960189217995113e-05,5.223879045922965e-06,0.0,0.0017235666877557,4.0519693060680375e-05,3.1099920909608058e-06,5.47257863610036e-05,2.200083962375254e-05,5.412567004886132e-05,1.349242628815031e-05,0.0002717130628261,2.383320276946069e-06,1.5876470730343406e-05,7.238901948657021e-05,2.849625406974263e-05,4.346185690689879e-06,1.6266064101622644e-05
